title,image,price,discount_price
Black Riven Granite 100X100 Square Setts,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/BlackGranite_71e82bf3-8be2-459c-b94f-728a327cc5d9_533x.jpg?v=1716364478,"
                  £93.33","
                  £55.00"
Raj Green Sandstone 200x50x40 Pavers,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/RajGreenPavers_1_ffc4e300-ca40-49d2-962d-e7d0b9d3e695_533x.jpg?v=1717484809,SAVE £50,"
                  £58"
Kandla Grey Sandstone 200x50x40 Pavers,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/KandlaGreyPavers_533x.jpg?v=1712837682,"
                  £74.44","
                  £58"
Raj Green Tumbled Sandstone 100X100 Square Setts,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107T11Da_533x.jpg?v=1707386488,"
                  £82.50","
                  £51.50"
Ravina Riven Sandstone Mixed Patio Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/108RPPAc_533x.jpg?v=1713182019,"
                  £35.45","
                  £23.50"
Raj Green Riven Sandstone Mixed Patio Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107MPPAa_533x.jpg?v=1709369653,"
                  £37.25","
                  £25"
Raj Green Smooth Sandstone Mixed Patio Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107HPPBa_533x.jpg?v=1703081534,"
                  £50.33","
                  £33.50"
Raj Green Smooth Sandstone 600x900 Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107H69Bc_533x.jpg?v=1707392240,SAVE £50,"
                  £34"
Autumn Brown Riven Sandstone Mixed Patio Paving Slabs 18mm,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/101RPPCa_533x.jpg?v=1707390556,"
                  £50.89","
                  £22"
Fossil Mint Smooth Sandstone 600x900 Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/102H69Bc_533x.jpg?v=1707382616,"
                  £32.83","
                  £26"
Sagar Black Riven Sandstone 600x900 Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/110R69Ae_533x.jpg?v=1712059415,SAVE £30,"
                  £37.00"
Rippon Buff Riven Sandstone Mixed Patio Paving Slabs 18mm,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/109RPPCa_533x.jpg?v=1703099225,"
                  £39.05","
                  £22.50"
Rippon Buff Riven Sandstone 600x900 Paving Slabs 18mm,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/ripponbuffriven600x900_3_54184f80-9d10-411b-9e0b-43a1f20a856a_533x.jpg?v=1712059236,"
                  £ 55.68","
                  £23"
Rippon Buff Riven Sandstone 600x600 Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/ripponbuffriven600x900_533x.jpg?v=1712058067,"
                  £33.80","
                  £25.50"
Rippon Buff Smooth Sandstone Mixed Patio Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/109HPPBa_533x.jpg?v=1705409182,"
                  £34.55","
                  £31.5"
Raj Green Riven Sandstone Mixed Patio Paving Slabs 18mm,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107RPPAb_533x.jpg?v=1713181779,"
                  £38.38","
                  £22.50"
Raj Green Riven Sandstone 600x900 Paving Slabs 18mm,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/RajGreenriven600x900_533x.jpg?v=1712055402,"
                  £47.06","
                  £23"
Raj Green Riven Sandstone 600x600 Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/107R66Ag_533x.jpg?v=1707391522,SAVE £40,"
                  £25.50"
Kandla Grey Smooth Sandstone Mixed Patio Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/105HPPBa_533x.jpg?v=1703083180,"
                  £33.80","
                  £33.50"
Raj Blend Riven Sandstone 3 Sizes Mixed Patio Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/106RP3Aa_533x.jpg?v=1703079068,"
                  £34.55","
                  £23.50"
Indian York Smooth Sandstone 600x900 Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/104H69Be_533x.jpg?v=1712057298,"
                  £38.38","
                  £24"
Indian York Smooth Sandstone 600x600 Sawn Edged Paving Slabs,https://royalestones.co.uk///www.thestonemart.co.uk/cdn/shop/files/104H66Bd_533x.jpg?v=1712057179,"
                  £50.33","
                  £24"
